NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,1,149.33,-14.48,-5.65,-26.22,1071.1,0.0977,-281.5841,2.85873,10,0,6,0
NaI1,1,8,1,149.57,-11.99,9.72,-26.27,1070.3,0.0977,-291.9088,3.05580,10,1,6,1
NaI2,2,8,1,149.51,2.44,15.25,-26.23,1068.1,0.0977,-222.7739,2.79141,10,2,6,2
NaI3,3,8,1,149.36,14.46,5.74,-26.26,1067.2,0.0977,-344.4841,3.21536,10,3,6,3
NaI4,4,8,1,149.8,11.6,-9.97,-26.28,1066.1,0.0977,-318.0979,3.09196,10,4,6,4
NaI5,5,8,1,149.32,-2.57,-15.35,-26.23,1065.5,0.0977,-233.9980,2.72608,10,5,6,5
NaI6,6,8,2,143.35,-10.38,-11.97,-21.29,1068.1,0.0977,-360.8955,3.19869,10,6,6,6
NaI7,7,8,2,143.44,-15.53,2.56,-21.21,1071.6,0.0977,-344.1735,3.18289,10,7,6,7
NaI8,8,8,2,144,-5.1,14.59,-21.28,1065.8,0.0977,-293.5242,2.74983,10,8,6,8
NaI9,9,8,2,143.74,10.23,11.78,-21.27,1065.7,0.0977,-260.9556,3.26870,10,9,6,9
NaI10,10,8,2,143.39,15.71,-2.1,-21.33,1072.6,0.0977,-296.9252,2.73463,10,10,6,10
NaI11,11,8,2,144.09,5.23,-14.54,-21.34,1068.3,0.0977,-338.6702,3.14637,10,11,6,11
NaI12,12,8,3,129.56,-15.82,-11.74,-16.27,1066.1,0.0977,-252.8874,2.67424,10,12,6,12
NaI13,13,8,3,129.68,-19.32,3.06,-16.22,1072,0.0977,-318.7277,2.88154,10,13,6,13
NaI14,14,8,3,129.46,-11.61,15.9,-16.21,1067.1,0.0977,-355.3130,2.91359,10,14,6,14
NaI15,15,8,3,129.22,2.57,19.77,-16.27,1065.5,0.0977,-272.2757,2.79697,10,15,6,15
NaI16,16,8,3,129.58,15.73,11.82,-16.27,1067.7,0.0977,-269.8400,2.89167,10,16,6,16
NaI17,17,8,3,129.65,19.36,-3.1,-16.25,1066.2,0.0977,-253.4295,3.14407,10,17,6,17
NaI18,18,8,3,129.33,11.74,-15.92,-16.21,1066.6,0.0977,-243.5210,2.88453,10,18,6,18
NaI19,19,8,3,129.54,-2.83,-19.52,-16.28,1067.4,0.0977,-340.0150,3.10454,10,19,6,19
NaI20,20,8,4,115.02,-17.43,-17.27,-11.45,1065.6,0.0977,-265.0890,2.90289,10,20,6,20
NaI21,21,8,4,115.11,-24.3,-3.7,-11.52,1066.1,0.0977,-321.7705,2.95055,10,21,6,21
NaI22,22,8,4,115.03,-21.95,11.18,-11.5,1068.1,0.0977,-363.2897,2.91223,10,22,6,22
NaI23,23,8,4,114.76,-11.2,22.01,-11.39,1066.4,0.0977,-238.2056,2.64100,10,23,6,23
NaI24,24,8,4,114.96,3.89,24.35,-11.48,1067.3,0.0977,-326.3587,3.10130,10,24,6,24
NaI25,25,8,4,114.94,17.47,17.24,-11.41,1068.1,0.0977,-327.2631,3.02578,10,25,6,25
NaI26,26,8,4,115.12,24.3,3.8,-11.53,1066.7,0.0977,-287.5193,2.82966,10,26,6,26
NaI27,27,8,4,114.91,21.83,-11.35,-11.43,1070.5,0.0977,-250.9168,3.02337,10,27,6,27
NaI28,28,8,4,115.06,11.02,-21.9,-11.46,1069.2,0.0977,-287.5061,3.08592,10,28,6,28
NaI29,29,8,4,115.06,-4.03,-24.27,-11.5,1067.2,0.0977,-287.1699,2.84713,10,29,6,29
NaI30,30,8,5,104.74,-10.78,-22.25,-6.51,1067.6,0.0977,-345.9595,3.01786,10,30,6,30
NaI31,31,8,5,104.82,-21.76,-11.73,-6.54,1071.5,0.0977,-329.7690,3.04622,10,31,6,31
NaI32,32,8,5,104.8,-24.44,3.43,-6.52,1064.6,0.0977,-288.6710,3.03287,11,0,6,32
NaI33,33,8,5,104.8,-17.86,17.12,-6.54,1064.9,0.0977,-285.4349,3.03729,11,1,6,33
NaI34,34,8,5,104.79,-4.32,24.32,-6.52,1063.9,0.0977,-377.9651,3.16560,11,2,6,34
NaI35,35,8,5,104.79,10.97,22.21,-6.54,1064.5,0.0977,-318.7223,2.93880,11,3,6,35
NaI36,36,8,5,104.75,21.79,11.77,-6.52,1063.8,0.0977,-286.0442,3.02282,11,4,6,36
NaI37,37,8,5,104.76,24.51,-3.41,-6.52,1068.9,0.0977,-316.5590,2.93153,11,5,6,37
NaI38,38,8,5,104.76,17.96,-17,-6.51,1066.4,0.0977,-369.7077,3.03482,11,6,6,38
NaI39,39,8,5,104.62,4.37,-24.41,-6.47,1066.3,0.0977,-327.1712,2.88122,11,7,6,39
NaI40,40,8,6,93.36,-15.59,-25.31,-1.74,1066.1,0.0977,-369.5023,3.11007,11,8,6,40
NaI41,41,8,6,93.24,-26.04,-13.96,-1.67,1060.1,0.0977,-214.3683,3.02133,11,9,6,41
NaI42,42,8,6,93.37,-29.61,1,-1.74,1067.7,0.0977,-281.4743,2.84959,11,10,6,42
NaI43,43,8,6,93.33,-25.2,15.51,-1.72,1066.9,0.0977,-301.2652,2.76815,11,11,6,43
NaI44,44,8,6,93.34,-14.09,26.08,-1.73,1067.8,0.0977,-350.7949,2.86776,11,12,6,44
NaI45,45,8,6,93.26,0.77,29.64,-1.69,1066.9,0.0977,-352.8412,3.01755,11,13,6,45
NaI46,46,8,6,93.3,15.64,25.13,-1.71,1070,0.0977,-372.1961,2.94017,11,14,6,46
NaI47,47,8,6,93.38,26.14,14.35,-1.76,1069,0.0977,-288.6738,2.99215,11,15,6,47
NaI48,48,8,6,93.4,29.54,-1.08,-1.76,1067.2,0.0977,-369.6802,2.64151,11,16,6,48
NaI49,49,8,6,93.18,25.2,-15.65,-1.65,1061.5,0.0977,-339.1210,2.96812,11,17,6,49
NaI50,50,8,6,93.24,14.17,-26.08,-1.68,1064.6,0.0977,-306.1293,2.98920,11,18,6,50
NaI51,51,8,6,93.27,-0.9,-29.6,-1.69,1065.7,0.0977,-372.1453,3.07455,11,19,6,51
NaI52,52,8,7,84.33,-15.12,-29.45,3.28,1064.1,0.0977,-362.6686,3.07071,11,20,6,52
NaI53,53,8,7,84.23,-26.39,-20.01,3.35,1063.6,0.0977,-369.3837,3.21525,15,27,8,75
NaI54,54,8,7,84.27,-32.37,-6.54,3.31,1062.2,0.0977,-357.7907,2.95776,11,22,6,54
NaI55,55,8,7,84.35,-32.09,8.04,3.27,1066.3,0.0977,-331.3330,2.84853,11,23,6,55
NaI56,56,8,7,84.37,-25.37,21.32,3.27,1063.5,0.0977,-300.9609,2.92666,11,24,6,56
NaI57,57,8,7,84.38,-13.52,30.2,3.25,1062.9,0.0977,-392.7392,3.00272,11,25,6,57
NaI58,58,8,7,84.4,1.1,33.03,3.24,1062.5,0.0977,-375.8449,2.98058,11,26,6,58
NaI59,59,8,7,84.27,15.21,29.18,3.3,1062.3,0.0977,-388.2832,2.96468,11,27,6,59
